缩略词,全称,简要解释,定义索引,引用索引
10BASE-T,,10Mbps 基带传输 双绞线(T),,S5-84
A,Address,地址，DNS记录,S2-63,S2-63
ACK,Acknowledgement,确认信息,S3-18,"S3-18, S3-19, S3-20, S3-21, S3-22, S3-23, S3-24, S3-25, S3-26, S3-27, S3-28, S3-29, S3-30, S3-31, S3-32, S3-33, S3-34, S3-35, S3-36, S3-37, S3-38, S3-39, S3-40, S3-41, S3-42, S3-44, S3-47, S3-48, S3-49, S3-50, S3-51, S3-52, S3-55, S3-56, S3-57, S3-58, S3-59, S3-60, S3-61, S3-64, S3-65, S3-68, S3-69, S3-70, S3-71, S3-81, S3-83, S3-84, S3-85, S3-86, S3-87, S3-89, S4-47"
ADSL,Asymmetric Digital Subscriber Line,非对称数字用户线路,S1-13,"S1-13, H1"
AIMD,Additive Increase Multiplicative Decrease,加性增乘性减,S3-92,S3-92
ALOHA,Additive Link On-link Hawaii System,,S5-19,"S5-18, S5-19"
ALOHAnet,ALOHA Network,ALOHA网络，夏威夷大学开发的,S1-62,S1-62
AOL,American Online,美国在线，ISP,,S1-12
AON,Active Optical Network,有源光纤网络,S1-18,S1-18
AP,Access Point,接入点,S6-4,S6-4
API,Application Programming Interface,应用编程接口,S2-1,"S2-1, S2-8, S2-68"
ARP,Address Resolution Protocol,地址解析协议,S5-35,S0-11
ARPAnet,The Advanced Research Projects Agency Network,阿帕网,S1-61,"S1-61, S1-62, S1-64"
ARQ,Automatic Repeat Request,自动重复请求，rdt2.0中的机制,S3-18,S3-18
AS,Autonomous System,自治系统（层次化的路由系统）,S4-93,S4-93
ASCII,American Standard Code for Information Interchange,美国信息交换标准代码，是一种编码方式,S2-23,"S2-23, S2-39, S2-42, S2-46, S2-47, S2-51, S2-92, S2-94"
ASN,Abstract Syntax Notation,抽象语法标记,,S0-15
AT&T,American Telephone & Telegraph,美国电话电报公司，美国电信公司,S1-34,S1-34
ATM,Asynchronous Transfer Mode,异步传输模式,S1-62,"S1-62, H1, S4-5, S4-12"
ATM ABR,ATM Available Bit Rate,ATM 可用位率（一种QoS）,S3-79,"S3-78, S3-79, S3-80"
ATM CBR,ATM Constant Bit Rate,ATM 恒定位率（一种QoS）,S4-7,S4-7
ATM UBR,ATM Unspecified Bit Rate,ATM 未指定位率（一种QoS）,S4-7,S4-7
ATM VBR,ATM Variable Bit Rate,ATM 可变位率（一种QoS）,S4-7,S4-7
BER,Bit Error Rate,位差错率,,S6-11
BGP,Border Gateway Protocol,边界网关协议，用于AS间的路由协议,S4-110,"S4-17, S4-30, S4-110"
BITNet,Because It's Time Network,一种联接世界教育单位的计算机网络,S1-63,S1-63
BMP,,,S2-52,S2-52
BPSK,Binary Phase Shift Keying,二进制相移键控，模拟信号转数字信号,S6-11,S6-11
BS,Base Station,基站,S6-35,S6-35
BSD,Berkeley Software Distribution,伯克利软件套件，UNIX衍生系统,S2-68,S2-68
BSS,Basic Service Set,基础服务集（一个AP形成的网络）,S6-18,S6-18
C/S,Client/Server,,S2-70,"S2-70, S2-71, S2-74, S2-82, S2-84, S2-89, S4-47"
C3,Category 3,"第三类网络线, 10Mbps",S1-21,S1-21
C5,Category 5,"第五类网络线, 100Mbps",S1-21,S1-21
C5+,Category 5 Plus,"超五类网络线, 1000Mbps",S1-21,S1-21
C6,Category 6,"第六类网络线, 2500Mbps",S1-21,S1-21
"CAIDA, UWisc","Center for Applied Internet Data Analysis, University of Wisconsin",威斯康星大学应用互联网数据分析中心,,S1-54
CDMA,Code Division Multiple Access,码分多址,S6-13,"S0-12, S1-26"
CI,Congestion Indication,CI bit：拥塞指示位，RM cell,S3-80,S3-80
CIDR,Classless Inter-Domain Routing,无类别域间路由,S4-43,S4-43
CMTS,Cable Modem Termination System,线缆调制解调器终端系统,S1-15,S1-15
CNAME,Canonical Name,（域名的）别名，DNS记录,S2-63,S2-63
CPU,,,,S4-20
CRC,Cyclic Redundancy Check,循环冗余校对,S5-10,S5-10
CSMA,Carrier Sense Multiple Access,载波侦听多路访问,S5-24,S5-18
CSMA/CA,CSMA/Collision Avoidance,,S5-18,S5-18
CSMA/CD,CSMA/Collision Detection,载波侦听多路访问/碰撞检测,S5-18,S5-18
CSNet,Computer Science Network,计算机科学网，用于计算机科学系，后与BITNET并入CERN,S1-63,S1-63
CTS,Clear-To-Send,接受发送权申请（类似批准总线占用）,S6-24,S6-24
DA,Destination Address,目的（IP）地址,S4-14,"S4-14, S4-15"
DDoS,Distributed Denial of Service,分布式拒绝服务，一种网络攻击,S1-53,S1-53
DECbit,,,,S3-78
DECnet,Digital Equipment Corporation Network,数字设备公司网络，是数字设备公司推出并支持的一组协议集合,S1-62,S1-62
DHCP,Dynamic Host Configuration Protocol,动态主机配置协议,S4-44,"S2-92, S4-44, S4-45, S4-46, S4-47, S4-48"
DIFS,Distributed Inter-Frame Space,分布式帧间间隔,S6-22,S6-22
DLC,Data Link Control,链路控制,S5-65,S5-65
DNS,Domain Name Server,域名系统,S2-54,",S0-8, S1-63, H1, S2-1, S2-54, S2-55, S2-56, S2-57, S2-58, S2-59, S2-60, S2-61, S2-62, S2-63, S2-64, S2-65, S2-76, S2-89, S3-10, S4-48"
DoS,Denial of Service,拒绝服务，一种网络攻击,S1-55,S1-55
DSL,Digital Subscriber Line,数字用户线路,,"S1-13, S1-14"
DSLAM,Digital Subscriber Line Access Multiplexer,数字用户线路接入复用器,S1-13,S1-13
DV,Distance Vector,距离矢量，一种动态分布式路由算法(Bellman-Ford),S4-81,"S4-74, S4-81"
eBGP,external BGP,外部边界网关协议，用于AS与AS间的通讯,S4-112,S4-112
EDC,Error Detection and Correction,差错侦测与纠错,S5-8,S5-8
EDGE,Enhanced Data rates for Global Evolution,2.5G,S6-38,S6-38
EFCI,Explicit Forward Congestion Indication,EFCI bit：显式前向拥塞指示位，data cell,S3-80,S3-80
EIGRP,Enhanced Interior Gateway Routing Protocol,增强的内部网关路由协议，Cisco 专有,S4-99,S4-99
ER,Explicit Rate,显式速率指定，2 bytes，RM cell,S3-80,S3-80
EVDO,Evolution Data Only,中国电信的3G技术,S1-20,S1-20
FDM,Frequency Division Multiplexing,频分复用,S1-27,S1-27
FDMA,Frequency Division Multiple Access,频分多路访问,S5-17,S5-17
FIN,Finish,结束，TCP Flag,S3-54,"S3-54, S3-70, S3-71"
FSM,Finite State Machine,有限状态机,S3-16,"S3-16, S3-17, S3-19, S3-27, S3-28, S3-31, S3-41, S3-42, S3-42, S3-86"
FTP,File Transfer Protocol,文件传输协议,S2-37,"S0-8, S1-49, S1-63, S1-67, H1, S2-14, S2-37, S2-38, S2-39, S2-89"
FTTH,Fiber To The Home,光纤入户,S1-18,S1-18
GBN,Go-Back-N,一种固定发送窗口大小的流水线发包算法,S3-38,"S3-36, S3-38, S3-39, S3-40, S3-41, S3-42, S3-43, S3-44, S3-45, S3-46"
GIF,,,S2-52,S2-52
GMT,Greenwich Mean Time,格林尼治标准时间,S2-25,S2-25
GPRS,General Packet Radio Service,2.5G,S6-38,S6-38
GSM,Global System for Mobile communication,全球移动通讯系统,,S6-6
HDLC,High-level Data Link Control,高层链路控制,S5-65,S5-65
HFC,Hybrid Fiber Coaxial,混合光纤同轴电缆网,S1-14,"S1-14, S1-22, H1, S5-12"
HOL,Head-Of-the-Line,HOL blocking：交换设备的输入队列阻塞现象,S4-26,S4-26
HSDPA,High Speed Downlink Packet Access,高速下行包接入，3G技术,S6-6,S1-20
HTML,HyperText Markup Language,超文本标记语言,S1-64,"S1-64, S2-15, S2-20, S2-25"
HTTP,HyperText Transfer Protocol,超文本传输协议,S2-16,"S0-8, S1-6, S1-49, S1-64, H1, S2-1, S2-9, S2-10, S2-14, S2-15, S2-16, S2-17, S2-18, S2-19, S2-20, S2-21, S2-22, S2-23, S2-24, S2-25, S2-26, S2-27, S2-28, S2-30, S2-34, S2-35, S2-39, S2-46, S2-48, S2-89"
iBGP,internal BGP,内部边界网关协议，用于AS内部的通讯,S4-112,S4-112
ICANN,The Internet Corporation for Assigned Names and Numbers,互联网名称与数字地址分配机构,S4-54,S2-57
ICMP,Internet Control Message Protocol,Internet 控制报文协议，例如Ping,S4-62,"S4-30, S4-62"
ICP,Internet Content Provider,网络内容提供商（ICP备案）,S2-35,S2-35
IEEE,Institute of Electrical and Electronics Engineers,电气和电子工程师协会,,S0-11
IETF,Internet Engineering Task Force,,,"S1-6, S2-62"
IGD,Internet Gateway Device protocol,Internet 网关设备协议,S4-61,S4-61
IGP,Interior Gateway Protocol,内部网关协议，用于自治系统内部的路由协议,S4-99,S4-99
IM,Instant Messaging,即时通讯,S1-64,"S1-64, S2-2"
IMAP,Internet Mail Access Protocol,（Internet）交互式邮件存取协议，能读能写,S2-1,"S2-1, S2-48, S2-50, S2-89"
IMAP4,,IMAP v4,,S2-94
IP,Internet Protocol,互联网协议,S4-31,"S0-10, S1-6, S1-58, S1-63, S1-67, S2-4, S2-5, S2-6, S2-9, S2-54, S2-55, S2-58, S2-60, S2-61, S2-63, S2-69, S2-72, S2-74, S2-76, S2-77, S2-79, S2-81, S2-92, S3-5, S3-6, S3-7, S3-8, S3-9, S3-62, S4-2, S4-30, S4-31, S4-32, S4-33, S4-34, S4-35, S4-38, S4-40, S4-41, S4-43, S4-44, S4-45, S4-48, S5-68"
IPCP,IP Control Protocol,IP 控制协议,S5-72,S5-68
IPsec,Internet Protocol Security,Internet协议安全性标准,,S0-14
IPv4,Internet Protocol version 4,第四代 IP 协议,,S4-67
IPv6,Internet Protocol version 6,第六版互联网协议,S4-64,"S0-10, S4-1, S4-59, S4-64"
ISDN,Integrated Services Digital Network,综合业务数字网，是一种典型的电路交换网络系统,H1,H1
IS-IS,Intermediate System-to-Intermediate System,中间系统到中间系统（路由协议）,,S5-80
ISO/OSI,International Standard Organization / Open System Interconnect,开放式网络互联，七层模型,S1-50,"S1-50, H1, S2-91"
ISP,Internet Service Provider,,,"S0-6, S1-4, S1-12, S1-14, S1-19, S1-34, S1-36, S1-37, S1-38, H1, S2-59"
